State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
"MS","Baxter Wilson","2050","2",,"2015","ARP, CSNOXOS","718.29","12","68394.34",,"0.321","0.1016","115.412","56863.999","956486.355","4","SPP","Warren","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,"Combustion Modification/Fuel Reburning",,,"32.2831","-90.9306",
"MS","Caledonia","55197","AA-001",,"2015","ARP, CSNOXOS","5270.84","12","1226824.33",,"2.609","0.0165","55.989","516830.212","8696609.729","4",,"Lowndes","Electric Utility","Caledonia Power, LLC","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.6464","-88.2717",
"MS","Caledonia","55197","AA-002",,"2015","ARP, CSNOXOS","4263.58","12","1016534.34",,"2.152","0.0122","36.224","426338.618","7174050.46","4",,"Lowndes","Electric Utility","Caledonia Power, LLC","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.6464","-88.2717",
"MS","Caledonia","55197","AA-003",,"2015","ARP, CSNOXOS","5262.97","12","1251789.61",,"2.623","0.0123","45.657","519634.934","8743844.785","4",,"Lowndes","Electric Utility","Caledonia Power, LLC","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.6464","-88.2717",
"MS","Chevron Cogenerating Station","2047","5",,"2015","ARP, CSNOXOS","7743.25","12","560076.25",,"8.602","0.0565","184.742","393230.45","6616867.15","4","SERC","Jackson","Cogeneration","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Combustion turbine","Natural Gas",,,"Dry Low NOx Burners",,,"30.34","-88.492",
"MS","Choctaw County Gen","55706","CTG1",,"2015","ARP, CSNOXOS","0.0","12",,,,,,,,"4",,"Choctaw","Electric Utility","GenOn Wholesale Generation, LP","GenOn Wholesale Generation, LP","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.2881","-89.4201",
"MS","Choctaw County Gen","55706","CTG2",,"2015","ARP, CSNOXOS","7271.77","12","1173311.84",,"3.721","0.0123","65.815","737101.207","1.2403147758E7","4",,"Choctaw","Electric Utility","GenOn Wholesale Generation, LP","GenOn Wholesale Generation, LP","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.2881","-89.4201",
"MS","Choctaw County Gen","55706","CTG3",,"2015","ARP, CSNOXOS","7325.98","12","1187545.52",,"3.737","0.0122","65.393","740200.854","1.2455347669E7","4",,"Choctaw","Electric Utility","GenOn Wholesale Generation, LP","GenOn Wholesale Generation, LP","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"33.2881","-89.4201",
"MS","Crossroads Energy Center (CPU)","55395","CT01",,"2015","ARP, CSNOXOS","123.99","12","6260.16",,"0.026","0.0348","1.246","5127.141","86274.901","4","SPP","Coahoma","Electric Utility","Clarksdale Public Utilities","Clarksdale Public Utilities","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"34.183","-90.5621",
"MS","Crossroads Energy Center (CPU)","55395","CT02",,"2015","ARP, CSNOXOS","79.14","12","4175.05",,"0.016","0.0396","0.837","3233.687","54404.423","4","SPP","Coahoma","Electric Utility","Clarksdale Public Utilities","Clarksdale Public Utilities","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"34.183","-90.5621",
"MS","Crossroads Energy Center (CPU)","55395","CT03",,"2015","ARP, CSNOXOS","94.04","12","5150.11",,"0.02","0.0285","0.861","3977.483","66931.516","4","SPP","Coahoma","Electric Utility","Clarksdale Public Utilities","Clarksdale Public Utilities","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"34.183","-90.5621",
"MS","Crossroads Energy Center (CPU)","55395","CT04",,"2015","ARP, CSNOXOS","85.3","12","4545.79",,"0.017","0.0591","1.246","3438.673","57853.304","4","SPP","Coahoma","Electric Utility","Clarksdale Public Utilities","Clarksdale Public Utilities","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"34.183","-90.5621",
"MS","Daniel Electric Generating Plant","6073","1"," CS1BYP, MS1FGD","2015","ARP, MATS, CSNOXOS","3976.5","12","1146149.25",,"3706.241","0.246","1713.817","1379478.759","1.344521775E7","4","SERC","Jackson","Electric Utility","Gulf Power Company, Mississippi Power Company","Mississippi Power Company","Phase 2","Phase 1 Group 1","Operating","Tangentially-fired","Coal","Residual Oil","Wet Limestone (Began Sep 03, 2015)",,"Electrostatic Precipitator",,"30.5335","-88.5574",
"MS","Daniel Electric Generating Plant","6073","2"," CS1BYP, MS2FGD","2015","ARP, MATS, CSNOXOS","4910.0","12","1503521.5",,"4689.168","0.2532","2001.39","1584819.066","1.5446598E7","4","SERC","Jackson","Electric Utility","Gulf Power Company, Mississippi Power Company","Mississippi Power Company","Phase 2","Phase 1 Group 1","Operating","Tangentially-fired","Coal","Residual Oil",,,"Electrostatic Precipitator",,"30.5335","-88.5574",
"MS","Daniel Electric Generating Plant","6073","3A",,"2015","ARP, CSNOXOS","8297.25","12","1346488.75",,"4.229","0.0083","56.839","837691.1","1.40956119E7","4","SERC","Jackson","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"30.5335","-88.5574",
"MS","Daniel Electric Generating Plant","6073","3B",,"2015","ARP, CSNOXOS","8236.0","12","1322173.5",,"4.238","0.0084","58.392","839546.55","1.412669605E7","4","SERC","Jackson","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"30.5335","-88.5574",
"MS","Daniel Electric Generating Plant","6073","4A",,"2015","ARP, CSNOXOS","8366.0","12","1379281.0",,"4.234","0.0081","56.653","838756.725","1.4113506975E7","4","SERC","Jackson","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"30.5335","-88.5574",
"MS","Daniel Electric Generating Plant","6073","4B",,"2015","ARP, CSNOXOS","8224.0","12","1345236.5",,"4.052","0.0083","54.47","802702.575","1.3506573425E7","4","SERC","Jackson","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"30.5335","-88.5574",
"MS","David M Ratcliffe","57037","AB-001",,"2015","ARP, MATS, CSNOXOS","8221.0","12","2072876.0",,"5.328","0.0135","113.848","1055518.25","1.7761084325E7","4",,"Kemper","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Integrated gasification combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"32.6538","-88.7574",
"MS","David M Ratcliffe","57037","AB-002",,"2015","ARP, MATS, CSNOXOS","8163.75","12","2054356.75",,"5.185","0.0132","111.019","1027041.325","1.7281887875E7","4",,"Kemper","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Integrated gasification combined cycle","Pipeline Natural Gas",,,"Selective Catalytic Reduction",,,"32.6538","-88.7574",
"MS","Gerald Andrus","8054","1",,"2015","ARP, CSNOXOS","1566.43","12","560181.13",,"1.823","0.1709","567.304","361027.843","6074959.628","4","SPP","Washington","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Residual Oil",,"Overfire Air",,,"33.3503","-91.1181",
"MS","Hinds Energy Facility","55218","H01",,"2015","ARP, CSNOXOS","5315.31","12","1197775.73",,"2.499","0.0103","41.387","495105.992","8331061.829","4",,"Hinds","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3781","-90.2169",
"MS","Hinds Energy Facility","55218","H02",,"2015","ARP, CSNOXOS","5212.6","12","1183016.26",,"2.461","0.0105","41.29","487450.979","8202280.491","4",,"Hinds","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"32.3781","-90.2169",
"MS","Kemper County","7960","KCT1",,"2015","ARP, CSNOXOS","748.51","12","57561.31",,"0.241","0.0386","11.698","40550.502","681800.111","4",,"Kemper","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combustion turbine","Diesel Oil","Pipeline Natural Gas",,,,,"32.7976","-88.6057",
"MS","Kemper County","7960","KCT2",,"2015","ARP, CSNOXOS","852.88","12","64185.06",,"0.262","0.0336","11.139","45025.664","757113.368","4",,"Kemper","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combustion turbine","Diesel Oil","Pipeline Natural Gas",,,,,"32.7976","-88.6057",
"MS","Kemper County","7960","KCT3",,"2015","ARP, CSNOXOS","789.72","12","56351.39",,"0.234","0.0368","10.813","39974.345","672154.48","4",,"Kemper","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combustion turbine","Diesel Oil","Pipeline Natural Gas",,,,,"32.7976","-88.6057",
"MS","Kemper County","7960","KCT4",,"2015","ARP, CSNOXOS","632.37","12","44277.57",,"0.172","0.0331","7.241","31530.2","530345.951","4",,"Kemper","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combustion turbine","Diesel Oil","Pipeline Natural Gas",,,,,"32.7976","-88.6057",
"MS","Magnolia Facility","55451","CTG-1",,"2015","ARP, CSNOXOS","6935.97","12","1684013.58",,"3.771","0.0133","74.052","746968.79","1.2569162903E7","4","SERC","Benton","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.8358","-89.2017",
"MS","Magnolia Facility","55451","CTG-2",,"2015","ARP, CSNOXOS","7105.68","12","1717878.72",,"3.865","0.0142","82.063","765680.932","1.2883995938E7","4","SERC","Benton","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.8358","-89.2017",
"MS","Magnolia Facility","55451","CTG-3",,"2015","ARP, CSNOXOS","7015.94","12","1702208.33",,"3.798","0.0147","81.806","752304.77","1.2658976947E7","4","SERC","Benton","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.8358","-89.2017",
"MS","Moselle Generating Plant","2070","**4",,"2015","ARP, CSNOXOS","401.14","12","24343.23",,"0.092","0.0501","6.596","18129.967","305066.187","4","SERC","Jones","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners",,,"31.5289","-89.2992",
"MS","Moselle Generating Plant","2070","3",,"2015","ARP, CSNOXOS","997.14","12","19559.75",,"0.071","0.2358","41.123","14010.567","235770.426","4","SERC","Jones","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas","Diesel Oil",,,,,"31.5289","-89.2992",
"MS","Moselle Generating Plant","2070","5",,"2015","ARP, CSNOXOS","404.02","12","24417.01",,"0.093","0.0347","4.219","18452.64","310502.92","4","SERC","Jones","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"31.5289","-89.2992",
"MS","Moselle Generating Plant","2070","6",,"2015","ARP, CSNOXOS","5678.9","12","752245.34",,"1.837","0.0075","16.764","363852.585","6122689.11","4","SERC","Jones","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.5289","-89.2992",
"MS","Moselle Generating Plant","2070","7",,"2015","ARP, CSNOXOS","5731.51","12","761205.02",,"1.92","0.0124","24.335","380332.773","6400261.618","4","SERC","Jones","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"31.5289","-89.2992",
"MS","R D Morrow Senior Generating Plant","6061","1",,"2015","ARP, MATS, CSNOXOS","746.07","12","100778.14",,"54.159","0.3981","222.515","113137.701","1102708.205","4","SERC","Lamar","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2","Phase 1 Group 1","Operating","Dry bottom turbo-fired boiler","Coal",,"Wet Lime FGD<br>Wet Limestone","Overfire Air","Electrostatic Precipitator",,"31.2194","-89.3933",
"MS","R D Morrow Senior Generating Plant","6061","2",,"2015","ARP, MATS, CSNOXOS","1480.4","12","169589.15",,"167.59","0.3717","360.38","184866.552","1801828.289","4","SERC","Lamar","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2","Phase 1 Group 1","Operating","Dry bottom turbo-fired boiler","Coal",,"Wet Lime FGD<br>Wet Limestone","Overfire Air","Electrostatic Precipitator",,"31.2194","-89.3933",
"MS","Red Hills Generation Facility","55076","AA001",,"2015","ARP, MATS, CSNOXOS","7300.25","12",,"1.131689775E7","1507.481","0.1127","970.285","1872338.775","1.7238183475E7","4",,"Choctaw","Electric Utility","Choctaw Generation Limited Partnership, LLLP","Choctaw Generation, LP","Phase 2",,"Operating","Circulating fluidized bed boiler","Coal","Natural Gas","Fluidized Bed Limestone Injection","Other","Baghouse","Untreated PAC Sorbent Injection (Began Nov 20, 2015)","33.3761","-89.2183",
"MS","Red Hills Generation Facility","55076","AA002",,"2015","ARP, MATS, CSNOXOS","7710.5","12",,"1.1820925E7","1519.684","0.1216","1194.016","2133473.525","1.9634313375E7","4",,"Choctaw","Electric Utility","Choctaw Generation Limited Partnership, LLLP","Choctaw Generation, LP","Phase 2",,"Operating","Circulating fluidized bed boiler","Coal","Natural Gas","Fluidized Bed Limestone Injection","Other","Baghouse","Untreated PAC Sorbent Injection (Began Nov 20, 2015)","33.3761","-89.2183",
"MS","Rex Brown","2053","3",,"2015","ARP, CSNOXOS","0.0","12",,,,,,,,"4","SPP","Hinds","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"32.3564","-90.2125",
"MS","Rex Brown","2053","4",,"2015","ARP, CSNOXOS","383.39","12","12139.49",,"0.079","0.2172","30.85","15711.3","264346.908","4","SPP","Hinds","Electric Utility","Entergy Corporation","Entergy Corporation","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"32.3564","-90.2125",
"MS","Silver Creek Generating Plant","7988","1",,"2015","ARP, CSNOXOS","542.67","12","33718.17",,"0.128","0.0368","5.913","25361.241","426746.026","4",,"Jefferson Davis","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"31.6004","-89.9468",
"MS","Silver Creek Generating Plant","7988","2",,"2015","ARP, CSNOXOS","509.75","12","32175.18",,"0.125","0.0363","6.039","24837.997","417966.114","4",,"Jefferson Davis","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"31.6004","-89.9468",
"MS","Silver Creek Generating Plant","7988","3",,"2015","ARP, CSNOXOS","427.86","12","27022.44",,"0.103","0.0373","4.855","20413.893","343478.456","4",,"Jefferson Davis","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"31.6004","-89.9468",
"MS","Southaven Combined Cycle","55269","AA-001",,"2015","ARP, CSNOXOS","5485.2","12","1296648.67",,"2.695","0.0143","53.374","533817.709","8982470.579","4",,"DeSoto","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.9939","-90.039",
"MS","Southaven Combined Cycle","55269","AA-002",,"2015","ARP, CSNOXOS","5324.58","12","1228619.06",,"2.541","0.0146","49.956","503391.251","8470467.908","4",,"DeSoto","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.9939","-90.039",
"MS","Southaven Combined Cycle","55269","AA-003",,"2015","ARP, CSNOXOS","5752.33","12","1372660.78",,"2.784","0.0149","57.306","551539.981","9280745.951","4",,"DeSoto","Electric Utility","Tennessee Valley Authority","Tennessee Valley Authority","Phase 2",,"Operating","Combined cycle","Pipeline Natural Gas",,,"Dry Low NOx Burners<br>Selective Catalytic Reduction",,,"34.9939","-90.039",
"MS","Sweatt Electric Generating Plant","2048","1"," CS01","2015","ARP, CSNOXOS","117.5","12","1790.25",,"0.005","0.1242","1.208","1008.825","16973.775","4","SERC","Lauderdale","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"32.2925","-88.7461",
"MS","Sweatt Electric Generating Plant","2048","2"," CS01","2015","ARP, CSNOXOS","81.5","12","970.0",,"0.003","0.1329","0.814","636.65","10706.9","4","SERC","Lauderdale","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Dry bottom wall-fired boiler","Pipeline Natural Gas",,,,,,"32.2925","-88.7461",
"MS","Sweatt Electric Generating Plant","2048","CTA",,"2015","CSNOXOS","516.0","12","0.0",,,"0.7","33.787",,"96527.2","4","SERC","Lauderdale","Electric Utility","Mississippi Power Company","Mississippi Power Company",,,"Operating","Combustion turbine","Pipeline Natural Gas",,,,,,"32.2925","-88.7461",
"MS","Sweatt Electric Generating Plant","2048","CTB",,"2015","CSNOXOS","504.0","12","0.0",,,"0.7","32.12",,"91772.6","4","SERC","Lauderdale","Electric Utility","Mississippi Power Company","Mississippi Power Company",,,"Operating","Combustion turbine","Pipeline Natural Gas",,,,,,"32.2925","-88.7461",
"MS","Sylvarena Generating Plant","7989","1",,"2015","ARP, CSNOXOS","1587.91","12","61021.64",,"0.163","0.1045","23.656","32185.271","541610.86","4",,"Smith","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"31.9842","-89.4131",
"MS","Sylvarena Generating Plant","7989","2",,"2015","ARP, CSNOXOS","1647.34","12","63559.57",,"0.175","0.1044","25.874","34558.795","581636.869","4",,"Smith","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"31.9842","-89.4131",
"MS","Sylvarena Generating Plant","7989","3",,"2015","ARP, CSNOXOS","1608.57","12","61717.24",,"0.164","0.1036","24.065","32413.398","545415.253","4",,"Smith","Electric Utility","South Mississippi Elec. Power Assoc","South Mississippi Elec. Power Assoc","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"31.9842","-89.4131",
"MS","Watson Electric Generating Plant","2049","1",,"2015","ARP, CSNOXOS","0.0","6",,,,,,,,"4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas","Diesel Oil",,,,,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","2",,"2015","ARP, CSNOXOS","0.0","6",,,,,,,,"4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas","Diesel Oil",,,,,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","3",,"2015","ARP, CSNOXOS","819.5","12","26333.5",,"0.099","0.1347","23.506","19591.075","329642.125","4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company","Phase 2",,"Operating","Tangentially-fired","Pipeline Natural Gas",,,,,,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","4",,"2015","ARP, MATS, CSNOXOS","5151.0","12","623209.0",,"5324.345","0.1709","672.673","501765.475","6446705.55","4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Pipeline Natural Gas",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","5",,"2015","ARP, MATS, CSNOXOS","5034.0","12","1133754.25",,"8970.712","0.231","1688.819","978824.725","1.2959158225E7","4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company","Table 1","Phase 1 Group 1","Operating","Dry bottom wall-fired boiler","Coal","Pipeline Natural Gas",,"Low NOx Burner Technology (Dry Bottom only)","Electrostatic Precipitator",,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","CTA",,"2015","CSNOXOS","649.0","12","9349.0",,,"0.7","43.41",,"124015.2","4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company",,,"Operating","Combustion turbine","Pipeline Natural Gas",,,,,,"30.4408","-89.0265",
"MS","Watson Electric Generating Plant","2049","CTB",,"2015","CSNOXOS","646.0","12","9349.0",,,"0.7","44.35",,"126713.4","4","SERC","Harrison","Electric Utility","Mississippi Power Company","Mississippi Power Company",,,"Operating","Combustion turbine","Pipeline Natural Gas",,,,,,"30.4408","-89.0265",
"MT","Colstrip","6076","1",,"2015","ARP, MATS","8055.22","12","2144280.5",,"2037.8","0.3265","3797.075","2370011.126","2.2608947658E7","8","WECC","Rosebud","Electric Utility","P P & L Montana, LLC, Puget Sound Power & Light Company, Talen Montana, LLC","P P & L Montana, LLC, Talen Montana, LLC","Phase 2","Early Election","Operating","Tangentially-fired","Coal",,"Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled OFA","Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance","45.8831","-106.614",
"MT","Colstrip","6076","2",,"2015","ARP, MATS","6956.23","12","1857608.09",,"1847.747","0.2163","2228.619","2188185.203","2.0875137656E7","8","WECC","Rosebud","Electric Utility","P P & L Montana, LLC, Puget Sound Power & Light Company, Talen Montana, LLC","P P & L Montana, LLC, Talen Montana, LLC","Phase 2","Early Election","Operating","Tangentially-fired","Coal",,"Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled OFA","Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance","45.8831","-106.614",
"MT","Colstrip","6076","3",,"2015","ARP, MATS","8447.8","12","6116257.0",,"2902.682","0.1637","5052.621","6391958.188","6.0945402225E7","8","WECC","Rosebud","Electric Utility","Avista Corporation, P P & L Montana, LLC, Pacificorp Energy Generation, Portland General Electric Company, Puget Sound Power & Light Company, Talen Montana, LLC","P P & L Montana, LLC, Talen Montana, LLC","Phase 2","Early Election","Operating","Tangentially-fired","Coal",,"Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance","45.8831","-106.614",
"MT","Colstrip","6076","4",,"2015","ARP, MATS","8480.8","12","6170099.09",,"2863.668","0.1652","5159.868","6525754.538","6.2221138578E7","8","WECC","Rosebud","Electric Utility","Avista Corporation, Bank of New York, NorthWestern Energy, LLC, P P & L Montana, LLC, Pacificorp Energy Generation, Portland General Electric Company, Puget Sound Power & Light Company, Talen Montana, LLC","P P & L Montana, LLC, Talen Montana, LLC","Phase 2","Early Election","Operating","Tangentially-fired","Coal",,"Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled/Separated OFA","Wet Scrubber","Additives to Enhance PAC and Existing Equipment Performance","45.8831","-106.614",
"MT","Culbertson Station","56606","CT01",,"2015","ARP","1495.23","12","107603.63",,"0.255","0.0925","38.474","50517.606","850037.767","8",,"Roosevelt","Electric Utility","Basin Electric Power Cooperative","Basin Electric Power Cooperative","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"48.2104","-104.3919",
"MT","Glendive Generating Station","2176","GT-2",,"2015","ARP","69.97","12","1465.38",,"0.018","0.1158","1.118","1035.712","16395.827","8","MAPP","Dawson","Electric Utility","Montana Dakota Utilities Company","Montana Dakota Utilities Company","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas","Diesel Oil",,"Dry Low NOx Burners",,,"47.0539","-104.74",
"MT","Hardin Generating Station","55749","U1",,"2015","ARP, MATS","5424.26","12","553746.59",,"296.66","0.0787","258.864","672240.198","6412641.004","8","WECC","Big Horn","Electric Utility","Rocky Mountain Power, LLC","Colorado Energy Management, LLC","Phase 2",,"Operating","Dry bottom wall-fired boiler","Coal",,"Dry Lime FGD","Low NOx Burner Technology (Dry Bottom only)<br>Selective Catalytic Reduction","Baghouse",,"45.7578","-107.6",
"MT","Highwood Generating Station","57480","HGS1",,"2015","ARP","0.0","6",,,,,,,,"8",,"Cascade","Electric Utility","Southern Montana Electric G & T Cooperative, Inc.","Southern Montana Electric G & T Cooperative, Inc.","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Dry Low NOx Burners",,,"47.55","-111.03",
"MT","J E Corette","2187","2",,"2015","ARP","1470.45","6","164196.25",,"435.231","0.2703","234.192","184426.665","1758458.055","8","WECC","Yellowstone","Electric Utility","P P & L Montana, LLC, Talen Montana, LLC","P P & L Montana, LLC, Talen Montana, LLC","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal",,,"Low NOx Burner Technology w/ Closed-coupled OFA","Electrostatic Precipitator",,"45.7747","-108.4803",
